Line count: 121
-5 -5 15
-5 -4 17
-5 -3 19
-5 -2 21
-5 -1 23
-5 0 25
-5 1 27
-5 2 29
-5 3 31
-5 4 33
-5 5 35
-4 -5 6
-4 -4 8
-4 -3 10
-4 -2 12
-4 -1 14
-4 0 16
-4 1 18
-4 2 20
-4 3 22
-4 4 24
-4 5 26
-3 -5 -1
-3 -4 1
-3 -3 3
-3 -2 5
-3 -1 7
-3 0 9
-3 1 11
-3 2 13
-3 3 15
-3 4 17
-3 5 19
-2 -5 -6
-2 -4 -4
-2 -3 -2
-2 -2 0
-2 -1 2
-2 0 4
-2 1 6
-2 2 8
-2 3 10
-2 4 12
-2 5 14
-1 -5 -9
-1 -4 -7
-1 -3 -5
-1 -2 -3
-1 -1 -1
-1 0 1
-1 1 3
-1 2 5
-1 3 7
-1 4 9
-1 5 11
0 -5 -10
0 -4 -8
0 -3 -6
0 -2 -4
0 -1 -2
0 0 0
0 1 2
0 2 4
0 3 6
0 4 8
0 5 10
1 -5 -9
1 -4 -7
1 -3 -5
1 -2 -3
1 -1 -1
1 0 1
1 1 3
1 2 5
1 3 7
1 4 9
1 5 11
2 -5 -6
2 -4 -4
2 -3 -2
2 -2 0
2 -1 2
2 0 4
2 1 6
2 2 8
2 3 10
2 4 12
2 5 14
3 -5 -1
3 -4 1
3 -3 3
3 -2 5
3 -1 7
3 0 9
3 1 11
3 2 13
3 3 15
3 4 17
3 5 19
4 -5 6
4 -4 8
4 -3 10
4 -2 12
4 -1 14
4 0 16
4 1 18
4 2 20
4 3 22
4 4 24
4 5 26
5 -5 15
5 -4 17
5 -3 19
5 -2 21
5 -1 23
5 0 25
5 1 27
5 2 29
5 3 31
5 4 33
5 5 35
