Line count: 1001
0 0 0
0.000998027 6.27905e-05 0.001
0.00198423 0.000250666 0.002
0.00294686 0.000562144 0.003
0.00387433 0.00099476 0.004
0.00475528 0.00154508 0.005
0.00557866 0.00220875 0.006
0.00633379 0.00298046 0.007
0.00701045 0.00385403 0.008
0.00759895 0.00482244 0.009
0.00809017 0.00587785 0.01
0.00847565 0.00701166 0.011
0.00874762 0.00821457 0.012
0.00889911 0.00947659 0.013
0.00892394 0.0107872 0.014
0.00881678 0.0121353 0.015
0.00857323 0.0135092 0.016
0.00818981 0.0148972 0.017
0.00766403 0.0162869 0.018
0.00699437 0.0176658 0.019
0.00618034 0.0190211 0.02
0.00522249 0.0203402 0.021
0.00412239 0.0216103 0.022
0.00288266 0.0228186 0.023
0.00150697 0.0239526 0.024
-1.09278e-09 0.025 0.025
-0.00163256 0.0259487 0.026
-0.003384 0.0267871 0.027
-0.00524668 0.027504 0.028
-0.007212 0.0280889 0.029
-0.00927051 0.0285317 0.03
-0.0114119 0.0288231 0.031
-0.0136249 0.0289545 0.032
-0.0158979 0.0289181 0.033
-0.0182181 0.0287071 0.034
-0.0205725 0.0283156 0.035
-0.0229473 0.0277385 0.036
-0.0253282 0.0269718 0.037
-0.0277008 0.0260128 0.038
-0.03005 0.0248595 0.039
-0.0323607 0.0235114 0.04
-0.0346175 0.0219689 0.041
-0.0368049 0.0202337 0.042
-0.0389076 0.0183085 0.043
-0.0409102 0.0161975 0.044
-0.0427975 0.0139058 0.045
-0.0445548 0.0114397 0.046
-0.0461675 0.00880692 0.047
-0.0476215 0.00601599 0.048
-0.0489033 0.00307674 0.049
-0.05 -4.37114e-09 0.05
-0.0508994 -0.00320231 0.051
-0.05159 -0.00651734 0.052
-0.0520612 -0.00993121 0.053
-0.0523035 -0.0134293 0.054
-0.0523081 -0.0169959 0.055
-0.0520675 -0.020615 0.056
-0.0515751 -0.0242694 0.057
-0.0508258 -0.0279417 0.058
-0.0498153 -0.0316138 0.059
-0.048541 -0.0352671 0.06
-0.0470013 -0.0388829 0.061
-0.0451961 -0.0424419 0.062
-0.0431265 -0.045925 0.063
-0.0407951 -0.0493129 0.064
-0.0382061 -0.0525861 0.065
-0.0353646 -0.0557256 0.066
-0.0322775 -0.0587126 0.067
-0.028953 -0.0615283 0.068
-0.0254006 -0.0641546 0.069
-0.0216312 -0.066574 0.07
-0.017657 -0.0687694 0.071
-0.0134915 -0.0707247 0.072
-0.00914933 -0.0724244 0.073
-0.0046465 -0.073854 0.074
8.94366e-10 -0.075 0.075
0.00477208 -0.07585 0.076
0.00965066 -0.0763928 0.077
0.0146157 -0.0766184 0.078
0.0196465 -0.0765181 0.079
0.0247213 -0.0760845 0.08
0.0298181 -0.0753119 0.081
0.0349139 -0.0741958 0.082
0.0399855 -0.0727335 0.083
0.0450094 -0.0709236 0.084
0.0499618 -0.0687664 0.085
0.0548185 -0.0662641 0.086
0.0595556 -0.0634203 0.087
0.0641492 -0.0602402 0.088
0.0685757 -0.0567307 0.089
0.0728116 -0.0529006 0.09
0.0768338 -0.0487602 0.091
0.0806202 -0.0443213 0.092
0.0841489 -0.0395975 0.093
0.087399 -0.0346037 0.094
0.0903504 -0.0293566 0.095
0.092984 -0.0238742 0.096
0.0952819 -0.018176 0.097
0.0972272 -0.0122827 0.098
0.0988046 -0.00621625 0.099
0.1 1.74846e-08 0.1
0.100801 0.00634186 0.101
0.101196 0.012784 0.102
0.101176 0.0193003 0.103
0.100733 0.0258638 0.104
0.0998609 0.0324468 0.105
0.0985563 0.0390212 0.106
0.0968165 0.0455584 0.107
0.0946411 0.0520294 0.108
0.0920317 0.0584051 0.109
0.0889919 0.0646564 0.11
0.085527 0.0707541 0.111
0.0816445 0.0766693 0.112
0.0773538 0.0823735 0.113
0.0726663 0.0878385 0.114
0.0675953 0.093037 0.115
0.0621559 0.097942 0.116
0.0563652 0.102528 0.117
0.0502419 0.10677 0.118
0.0438068 0.110643 0.119
0.0370821 0.114127 0.12
0.0300915 0.117199 0.121
0.0228605 0.119839 0.122
0.015416 0.12203 0.123
0.00778604 0.123755 0.124
1.73839e-08 0.125 0.125
-0.00791165 0.125751 0.126
-0.0159174 0.125999 0.127
-0.0239849 0.125733 0.128
-0.0320809 0.124947 0.129
-0.0401721 0.123637 0.13
-0.0482243 0.121801 0.131
-0.0562028 0.119437 0.132
-0.0640733 0.116549 0.133
-0.0718009 0.11314 0.134
-0.0793511 0.109217 0.135
-0.0866897 0.10479 0.136
-0.0937829 0.0998687 0.137
-0.100598 0.0944675 0.138
-0.107101 0.088602 0.139
-0.113262 0.08229 0.14
-0.11905 0.0755516 0.141
-0.124436 0.068409 0.142
-0.12939 0.0608863 0.143
-0.133888 0.0530099 0.144
-0.137903 0.0448075 0.145
-0.141413 0.0363087 0.146
-0.144396 0.0275451 0.147
-0.146833 0.0185493 0.148
-0.148706 0.00935579 0.149
-0.15 -3.57746e-09 0.15
-0.150702 -0.00948123 0.151
-0.150801 -0.0190507 0.152
-0.15029 -0.0286694 0.153
-0.149162 -0.0382983 0.154
-0.147414 -0.0478977 0.155
-0.145045 -0.0574275 0.156
-0.142058 -0.0668474 0.157
-0.138456 -0.0761171 0.158
-0.134248 -0.0851964 0.159
-0.129443 -0.0940455 0.16
-0.124053 -0.102625 0.161
-0.118093 -0.110897 0.162
-0.111581 -0.118822 0.163
-0.104537 -0.126364 0.164
-0.0969845 -0.133488 0.165
-0.0889473 -0.140158 0.166
-0.0804529 -0.146343 0.167
-0.071531 -0.152011 0.168
-0.0622131 -0.157132 0.169
-0.0525328 -0.16168 0.17
-0.0425259 -0.165628 0.171
-0.0322295 -0.168953 0.172
-0.0216827 -0.171636 0.173
-0.0109256 -0.173657 0.174
-5.07617e-08 -0.175 0.175
0.0110511 -0.175653 0.176
0.0221839 -0.175604 0.177
0.0333538 -0.174847 0.178
0.0445156 -0.173376 0.179
0.0556232 -0.17119 0.18
0.0666305 -0.16829 0.181
0.0774918 -0.164679 0.182
0.0881609 -0.160364 0.183
0.0985921 -0.155356 0.184
0.10874 -0.149668 0.185
0.118561 -0.143315 0.186
0.12801 -0.136317 0.187
0.137046 -0.128695 0.188
0.145627 -0.120473 0.189
0.153713 -0.111679 0.19
0.161267 -0.102343 0.191
0.168251 -0.0924967 0.192
0.174632 -0.0821754 0.193
0.180377 -0.0714161 0.194
0.185456 -0.0602584 0.195
0.189842 -0.0487434 0.196
0.193511 -0.0369141 0.197
0.196439 -0.0248159 0.198
0.198607 -0.0124952 0.199
0.2 6.99382e-08 0.2
0.200603 0.012621 0.201
0.200407 0.0253174 0.202
0.199404 0.0380383 0.203
0.197591 0.0507326 0.204
0.194967 0.0633484 0.205
0.191534 0.0758336 0.206
0.187299 0.0881364 0.207
0.182272 0.100205 0.208
0.176464 0.111988 0.209
0.169894 0.123435 0.21
0.162578 0.134496 0.211
0.154541 0.145124 0.212
0.145809 0.15527 0.213
0.136409 0.16489 0.214
0.126374 0.173939 0.215
0.115738 0.182375 0.216
0.104541 0.190159 0.217
0.0928199 0.197252 0.218
0.0806193 0.203621 0.219
0.0679838 0.209232 0.22
0.0549605 0.214057 0.221
0.0415987 0.218068 0.222
0.0279493 0.221242 0.223
0.0140651 0.223558 0.224
-8.04929e-09 0.225 0.225
-0.0141907 0.225554 0.226
-0.0284507 0.22521 0.227
-0.042723 0.223961 0.228
-0.05695 0.221806 0.229
-0.0710739 0.218743 0.23
-0.0850368 0.214778 0.231
-0.0987806 0.20992 0.232
-0.112248 0.20418 0.233
-0.125384 0.197573 0.234
-0.13813 0.190119 0.235
-0.150432 0.181841 0.236
-0.162238 0.172766 0.237
-0.173495 0.162922 0.238
-0.184153 0.152344 0.239
